Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/users,90,90,3,3.3915541777773424,1.1925420000054032,14.323250000000343,0.0,1.5724111586897236,1.5724111586897236,3,4,4,4,5,5,7,14,14,14,14
GET,/api/users/2,190,190,3,3.208790557894441,1.2045000000000528,11.270584000001804,0.0,3.3195346683449722,3.3195346683449722,3,4,4,4,5,5,7,9,11,11,11
GET,/api/users?page=2,281,281,3,3.2682378540924795,1.1947089999964078,17.71374999999864,0.0,4.909417062131248,4.909417062131248,3,4,4,4,5,5,6,16,18,18,18
,Aggregated,561,561,3,3.2678875561495415,1.1925420000054032,17.71374999999864,0.0,9.801362889165944,9.801362889165944,3,4,4,4,5,5,6,10,18,18,18
