Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/users/3,9,9,4,3.030171111110431,1.0387909999991507,4.363750000003108,0.0,0.1508819153395808,0.1508819153395808,4,4,4,4,4,4,4,4,4,4,4
PATCH,/api/users/3,4,4,3.4134169999973096,3.980510500000367,3.4134169999973096,5.132334000000682,0.0,0.06705862903981369,0.06705862903981369,4,4,5,5,5,5,5,5,5,5,5
PUT,/api/users/3,1,1,3.7237080000025458,3.7237080000025458,3.7237080000025458,3.7237080000025458,0.0,0.016764657259953422,0.016764657259953422,4,4,4,4,4,4,4,4,4,4,4
DELETE,/api/users/4,4,4,4,3.8406562499997965,2.91941700000109,4.794624999999941,0.0,0.06705862903981369,0.06705862903981369,4,4,5,5,5,5,5,5,5,5,5
GET,/api/users/4,6,6,2,2.0510833333338883,0.8876250000042774,2.9005000000008607,0.0,0.10058794355972055,0.10058794355972055,2,2,3,3,3,3,3,3,3,3,3
PATCH,/api/users/4,3,3,2,1.947985999996386,1.1465419999936444,3.0778749999988975,0.0,0.05029397177986027,0.05029397177986027,2,2,3,3,3,3,3,3,3,3,3
PUT,/api/users/4,3,3,5,4.732847333331828,4.267208999998218,5.1015829999983,0.0,0.05029397177986027,0.05029397177986027,5,5,5,5,5,5,5,5,5,5,5
DELETE,/api/users/5,5,5,2,1.9102752000009104,1.298916999999733,3.508416999999042,0.0,0.08382328629976712,0.08382328629976712,2,2,2,4,4,4,4,4,4,4,4
GET,/api/users/5,11,11,3,2.816196818181541,0.9113749999940524,5.086208000001591,0.0,0.18441122985948766,0.18441122985948766,3,3,4,4,5,5,5,5,5,5,5
PATCH,/api/users/5,3,3,4,3.870444666665159,3.1246669999998034,4.318374999999985,0.0,0.05029397177986027,0.05029397177986027,4,4,4,4,4,4,4,4,4,4,4
PUT,/api/users/5,2,2,1.401166999997372,2.95981299999859,1.401166999997372,4.518458999999808,0.0,0.033529314519906844,0.033529314519906844,5,5,5,5,5,5,5,5,5,5,5
DELETE,/api/users/6,6,6,3,3.055576499999546,1.2906249999957708,4.713667000000754,0.0,0.10058794355972055,0.10058794355972055,4,4,4,4,5,5,5,5,5,5,5
GET,/api/users/6,8,8,4,5.257994750001882,1.527458000001758,13.840833000003272,0.0,0.13411725807962738,0.13411725807962738,4,5,9,9,14,14,14,14,14,14,14
PATCH,/api/users/6,1,1,3.3252919999995356,3.3252919999995356,3.3252919999995356,3.3252919999995356,0.0,0.016764657259953422,0.016764657259953422,3,3,3,3,3,3,3,3,3,3,3
PUT,/api/users/6,2,2,4.870625000002349,4.789645500001383,4.708666000000417,4.870625000002349,0.0,0.033529314519906844,0.033529314519906844,5,5,5,5,5,5,5,5,5,5,5
DELETE,/api/users/7,6,6,2,2.9108471666662674,1.302791000000525,5.095208000000184,0.0,0.10058794355972055,0.10058794355972055,2,2,5,5,5,5,5,5,5,5,5
GET,/api/users/7,2,2,2.0145420000048375,3.1688960000018085,2.0145420000048375,4.3232499999987795,0.0,0.033529314519906844,0.033529314519906844,4,4,4,4,4,4,4,4,4,4,4
PATCH,/api/users/7,3,3,2.063457999998519,2.367193999998444,2.063457999998519,2.7097079999993667,0.0,0.05029397177986027,0.05029397177986027,2,2,3,3,3,3,3,3,3,3,3
PUT,/api/users/7,3,3,3,2.706569333333982,1.155249999999608,4.27695800000194,0.0,0.05029397177986027,0.05029397177986027,3,3,4,4,4,4,4,4,4,4,4
DELETE,/api/users/8,1,1,3.6294589999990023,3.6294589999990023,3.6294589999990023,3.6294589999990023,0.0,0.016764657259953422,0.016764657259953422,4,4,4,4,4,4,4,4,4,4,4
GET,/api/users/8,7,7,3,4.489499857141865,1.4747499999998581,12.430790999999886,0.0,0.11735260081967397,0.11735260081967397,3,4,5,5,12,12,12,12,12,12,12
PATCH,/api/users/8,7,7,4,6.87672028571359,1.3445410000016977,22.804959000000125,0.0,0.11735260081967397,0.11735260081967397,4,5,11,11,23,23,23,23,23,23,23
PUT,/api/users/8,2,2,1.4555000000022744,2.5539795000018017,1.4555000000022744,3.652459000001329,0.0,0.033529314519906844,0.033529314519906844,4,4,4,4,4,4,4,4,4,4,4
DELETE,/api/users/9,5,5,4,3.4340166000013994,1.4209170000007987,5.248041000001535,0.0,0.08382328629976712,0.08382328629976712,4,4,4,5,5,5,5,5,5,5,5
GET,/api/users/9,8,8,4,3.7432811250004416,1.5900829999964117,4.895458000000019,0.0,0.13411725807962738,0.13411725807962738,4,4,4,4,5,5,5,5,5,5,5
PATCH,/api/users/9,4,4,5,5.336906250000606,3.0780839999984266,8.994958000002384,0.0,0.06705862903981369,0.06705862903981369,5,5,9,9,9,9,9,9,9,9,9
PUT,/api/users/9,4,4,3,3.272468999999445,1.4446669999941264,5.176542000000062,0.0,0.06705862903981369,0.06705862903981369,4,4,5,5,5,5,5,5,5,5,5
GET,/api/users?delay=3,28,28,3,3.256991071429135,0.899167000000034,5.090250000002072,0.0,0.4694104032786959,0.4694104032786959,3,4,4,5,5,5,5,5,5,5,5
GET,/api/users?page=2,94,94,3,3.312656861702093,0.9547089999983882,13.571999999999917,0.0,1.5758777824356218,1.5758777824356218,3,4,4,5,5,5,7,14,14,14,14
,Aggregated,569,569,3,5.129392479789077,0.8876250000042774,1013.3795409999999,0.0,9.539089980913499,9.539089980913499,3,4,4,4,5,5,9,13,1000,1000,1000
