Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/users,100,100,3,3.285405010000062,0.9609580000002893,7.316708000000283,0.0,1.6878951245515954,1.6878951245515954,3,4,4,4,5,5,6,7,7,7,7
GET,/api/users/2,190,190,3,3.448385757894806,0.7794580000002327,17.095332999999435,0.0,3.207000736648031,3.207000736648031,3,4,4,4,5,6,7,13,17,17,17
GET,/api/users?page=2,286,286,3,3.4720245034965584,1.0348339999994849,23.531333000001098,0.0,4.827380056217563,4.827380056217563,3,4,4,4,5,6,7,8,24,24,24
,Aggregated,576,576,3,3.4318277829861743,0.7794580000002327,23.531333000001098,0.0,9.722275917417189,9.722275917417189,3,4,4,4,5,5,7,8,24,24,24
