Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757403450,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757403451,2,GET,/api/users/2,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,2.1744579999999902,2.1744579999999902,2.1744579999999902,2.1744579999999902,0.0
1757403451,2,GET,/api/users?page=2,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5.492166499999978,4.636749999999967,6.3475829999999895,0.0
1757403451,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4.3862636666666495,2.1744579999999902,6.3475829999999895,0.0
1757403452,4,GET,/api/users/2,0.000000,0.000000,4,4,4,4,4,4,4,4,4,4,4,4,4,2.1744579999999902,3.0550312499999372,2.1744579999999902,3.939041999999837,0.0
1757403452,4,GET,/api/users?page=2,0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5.492166499999978,4.636749999999967,6.3475829999999895,0.0
1757403452,4,,Aggregated,0.000000,0.000000,4,4,5,5,5,5,5,5,5,5,5,6,6,4,3.8674096666666173,2.1744579999999902,6.3475829999999895,0.0
1757403453,6,POST,/api/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,3.193791000000168,3.193791000000168,3.193791000000168,3.193791000000168,0.0
1757403453,6,GET,/api/users/2,1.000000,1.000000,4,4,4,4,4,4,4,4,4,4,4,6,6,3.939041999999837,3.3025973333332956,2.1744579999999902,3.939041999999837,0.0
1757403453,6,GET,/api/users?page=2,1.000000,1.000000,4,4,5,5,9,9,9,9,9,9,9,7,7,4,4.82773214285712,2.8967500000001145,8.819917000000288,0.0
1757403453,6,,Aggregated,2.000000,2.000000,4,4,4,4,5,9,9,9,9,9,9,14,14,4,4.057392857142841,2.1744579999999902,8.819917000000288,0.0
1757403454,8,POST,/api/users,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,3.193791000000168,3.9799995000002752,3.193791000000168,4.766208000000383,0.0
1757403454,8,GET,/api/users/2,2.000000,2.000000,4,4,4,4,4,4,4,4,4,4,4,7,7,3.939041999999837,3.3564584285714227,2.1744579999999902,3.939041999999837,0.0
1757403454,8,GET,/api/users?page=2,1.000000,1.000000,4,4,4,5,6,9,9,9,9,9,9,15,15,4,4.296308200000017,2.3887910000004453,8.819917000000288,0.0
1757403454,8,,Aggregated,3.000000,3.000000,4,4,4,4,5,6,9,9,9,9,9,24,24,4,3.995826291666699,2.1744579999999902,8.819917000000288,0.0
1757403455,10,POST,/api/users,0.000000,0.000000,1,1,1,1,1,1,1,1,1,1,1,5,5,1.148959000000005,2.350125000000247,1.148959000000005,4.766208000000383,0.0
1757403455,10,GET,/api/users/2,2.000000,2.000000,4,4,4,4,8,8,8,8,8,8,8,11,11,4,3.598272727272892,1.7006250000006773,7.596500000000006,0.0
1757403455,10,GET,/api/users?page=2,2.000000,2.000000,4,4,4,4,6,9,9,9,9,9,9,19,19,4,3.8239055789473917,1.45720799999971,8.819917000000288,0.0
1757403455,10,,Aggregated,4.000000,4.000000,4,4,4,4,5,8,9,9,9,9,9,35,35,4,3.5424523142858138,1.148959000000005,8.819917000000288,0.0
1757403456,10,POST,/api/users,0.500000,0.500000,1,1,3,3,3,3,3,3,3,3,3,6,6,1.148959000000005,2.4478611666668058,1.148959000000005,4.766208000000383,0.0
1757403456,10,GET,/api/users/2,1.750000,1.750000,4,4,4,4,4,8,8,8,8,8,8,16,16,3,3.4475051875000293,1.7006250000006773,7.596500000000006,0.0
1757403456,10,GET,/api/users?page=2,3.250000,3.250000,3,4,4,4,5,6,9,9,9,9,9,22,22,3,3.736109681818148,1.45720799999971,8.819917000000288,0.0
1757403456,10,,Aggregated,5.500000,5.500000,3,4,4,4,5,6,9,9,9,9,9,44,44,3,3.4554923409091045,1.148959000000005,8.819917000000288,0.0
1757403457,10,POST,/api/users,1.000000,1.000000,1,2,3,3,7,7,7,7,7,7,7,9,9,2,2.7641897777778763,1.148959000000005,7.316708000000283,0.0
1757403457,10,GET,/api/users/2,2.000000,2.000000,3,4,4,4,8,17,17,17,17,17,17,20,20,3,3.9633749500000066,1.7006250000006773,17.095332999999435,0.0
1757403457,10,GET,/api/users?page=2,3.800000,3.800000,3,4,4,4,5,6,9,9,9,9,9,26,26,3,3.5047450769229935,1.0348339999994849,8.819917000000288,0.0
1757403457,10,,Aggregated,6.800000,6.800000,3,4,4,4,5,8,9,17,17,17,17,55,55,3,3.5503377999999803,1.0348339999994849,17.095332999999435,0.0
1757403458,10,POST,/api/users,1.000000,1.000000,2,2,2,3,7,7,7,7,7,7,7,11,11,2,2.586454545454586,1.148959000000005,7.316708000000283,0.0
1757403458,10,GET,/api/users/2,2.500000,2.500000,3,4,4,4,4,8,17,17,17,17,17,23,23,3,3.7278387391304144,1.7006250000006773,17.095332999999435,0.0
1757403458,10,GET,/api/users?page=2,3.500000,3.500000,3,4,4,4,5,6,9,9,9,9,9,30,30,3,3.306780433333273,1.0348339999994849,8.819917000000288,0.0
1757403458,10,,Aggregated,7.000000,7.000000,3,4,4,4,5,7,9,17,17,17,17,64,64,3,3.3342922499999714,1.0348339999994849,17.095332999999435,0.0
1757403459,10,POST,/api/users,1.142857,1.142857,2,3,4,4,5,7,7,7,7,7,7,13,13,2,2.869541615384518,1.148959000000005,7.316708000000283,0.0
1757403459,10,GET,/api/users/2,2.714286,2.714286,3,4,4,4,4,8,17,17,17,17,17,26,26,3,3.5117980384615417,0.7794580000002327,17.095332999999435,0.0
1757403459,10,GET,/api/users?page=2,3.571429,3.571429,3,4,4,4,5,6,9,9,9,9,9,34,34,3,3.216412882352894,1.0348339999994849,8.819917000000288,0.0
1757403459,10,,Aggregated,7.428571,7.428571,3,4,4,4,5,7,9,17,17,17,17,73,73,3,3.2598469589040713,0.7794580000002327,17.095332999999435,0.0
1757403460,10,POST,/api/users,1.250000,1.250000,2,2,3,4,5,7,7,7,7,7,7,15,15,2,2.6964109999997987,1.148959000000005,7.316708000000283,0.0
1757403460,10,GET,/api/users/2,2.750000,2.750000,3,3,4,4,4,8,17,17,17,17,17,30,30,2,3.2834777333333935,0.7794580000002327,17.095332999999435,0.0
1757403460,10,GET,/api/users?page=2,3.625000,3.625000,3,3,4,4,5,6,9,9,9,9,9,40,40,3,3.0362791000000016,1.0348339999994849,8.819917000000288,0.0
1757403460,10,,Aggregated,7.625000,7.625000,3,3,4,4,5,6,9,17,17,17,17,85,85,3,3.063548952941163,0.7794580000002327,17.095332999999435,0.0
1757403461,10,POST,/api/users,1.333333,1.333333,2,2,4,5,5,7,7,7,7,7,7,17,17,2,2.711188647058549,1.1211669999990903,7.316708000000283,0.0
1757403461,10,GET,/api/users/2,2.888889,2.888889,2,3,3,4,4,8,17,17,17,17,17,33,33,2,3.1830681212121745,0.7794580000002327,17.095332999999435,0.0
1757403461,10,GET,/api/users?page=2,3.666667,3.666667,3,3,4,4,5,5,9,9,9,9,9,43,43,3,3.005827488372039,1.0348339999994849,8.819917000000288,0.0
1757403461,10,,Aggregated,7.888889,7.888889,2,3,4,4,5,6,9,17,17,17,17,93,93,2,3.0148606129031696,0.7794580000002327,17.095332999999435,0.0
1757403462,10,POST,/api/users,1.400000,1.400000,2,3,4,5,5,7,7,7,7,7,7,20,20,2,2.7849957999996455,1.1211669999990903,7.316708000000283,0.0
1757403462,10,GET,/api/users/2,2.900000,2.900000,2,3,3,3,4,8,17,17,17,17,17,35,35,2,3.1269630000000337,0.7794580000002327,17.095332999999435,0.0
1757403462,10,GET,/api/users?page=2,3.800000,3.800000,2,3,3,4,4,5,6,6,6,6,6,49,49,3,2.978279734693876,1.0348339999994849,8.819917000000288,0.0
1757403462,10,,Aggregated,8.100000,8.100000,2,3,3,4,5,5,8,17,17,17,17,104,104,2,2.9911473846153283,0.7794580000002327,17.095332999999435,0.0
1757403463,10,POST,/api/users,1.600000,1.600000,2,3,4,5,5,7,7,7,7,7,7,22,22,2,2.676380681817828,1.1211669999990903,7.316708000000283,0.0
1757403463,10,GET,/api/users/2,3.100000,3.100000,2,3,3,3,4,8,17,17,17,17,17,38,38,2,2.9968014210526994,0.7794580000002327,17.095332999999435,0.0
1757403463,10,GET,/api/users?page=2,4.100000,4.100000,2,3,3,3,4,5,6,6,6,6,6,54,54,2,2.8907962592593264,1.0348339999994849,8.819917000000288,0.0
1757403463,10,,Aggregated,8.800000,8.800000,2,3,3,3,5,5,8,17,17,17,17,114,114,2,2.8847528684210393,0.7794580000002327,17.095332999999435,0.0
1757403464,10,POST,/api/users,1.900000,1.900000,2,3,4,5,5,7,7,7,7,7,7,23,23,2,2.601797086956196,0.9609580000002893,7.316708000000283,0.0
1757403464,10,GET,/api/users/2,3.000000,3.000000,2,3,3,3,3,4,17,17,17,17,17,41,41,2,2.928295634146445,0.7794580000002327,17.095332999999435,0.0
1757403464,10,GET,/api/users?page=2,4.500000,4.500000,2,3,3,3,4,5,5,5,5,5,5,60,60,2,2.788702766666731,1.0348339999994849,8.819917000000288,0.0
