Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comments?postId=1,161,161,4,3.836334894410191,1.6171249999956672,8.990666999999952,0.0,2.7152706355034506,2.7152706355034506,4,4,5,5,5,5,6,6,9,9,9
GET,/posts,208,208,4,3.707962543269264,1.2550000000004502,8.662709000001101,0.0,3.5079272806504207,3.5079272806504207,4,4,4,5,5,6,7,8,9,9,9
POST,/posts,59,59,4,4.118391881356051,1.8055419999996047,11.999832999997295,0.0,0.9950370651844943,0.9950370651844943,4,4,5,5,6,7,10,12,12,12,12
GET,/posts/1,150,150,4,3.797090633333308,1.065291999999829,13.111166999998147,0.0,2.5297552504690533,2.5297552504690533,4,4,5,5,5,6,7,8,13,13,13
,Aggregated,578,578,4,3.8087454031142727,1.065291999999829,13.111166999998147,0.0,9.74799023180742,9.74799023180742,4,4,5,5,5,6,7,8,13,13,13
