Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757405754,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757405755,2,GET,/comments?postId=1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6946249999999505,2.6946249999999505,2.6946249999999505,2.6946249999999505,0.0
1757405755,2,GET,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,2.414708000000043,2.414708000000043,2.414708000000043,2.414708000000043,0.0
1757405755,2,POST,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,6.533291999999968,6.533291999999968,6.533291999999968,6.533291999999968,0.0
1757405755,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3.880874999999987,2.414708000000043,6.533291999999968,0.0
1757405756,4,GET,/comments?postId=1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4.443156249999969,2.591082999999994,8.990666999999952,0.0
1757405756,4,GET,/posts,0.000000,0.000000,3,3,8,8,8,8,8,8,8,8,8,4,4,3,4.085426750000051,2.414708000000043,8.421791000000178,0.0
1757405756,4,POST,/posts,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,1,1,6.533291999999968,6.533291999999968,6.533291999999968,6.533291999999968,0.0
1757405756,4,,Aggregated,0.000000,0.000000,3,3,8,8,9,9,9,9,9,9,9,9,9,3,4.516402666666672,2.414708000000043,8.990666999999952,0.0
1757405757,6,GET,/comments?postId=1,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,6,6,3,3.945889000000036,2.5158750000002783,8.990666999999952,0.0
1757405757,6,GET,/posts,1.000000,1.000000,4,4,8,8,8,8,8,8,8,8,8,5,5,3,3.9763081999999783,2.414708000000043,8.421791000000178,0.0
1757405757,6,POST,/posts,1.000000,1.000000,7,7,7,7,7,7,7,7,7,7,7,1,1,6.533291999999968,6.533291999999968,6.533291999999968,6.533291999999968,0.0
1757405757,6,GET,/posts/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5.675166666666638,2.2889999999997634,8.395417000000016,0.0
1757405757,6,,Aggregated,2.000000,2.000000,3,4,6,8,8,9,9,9,9,9,9,15,15,3,4.474377799999999,2.2889999999997634,8.990666999999952,0.0
1757405758,8,GET,/comments?postId=1,1.000000,1.000000,3,3,3,3,4,4,4,4,4,4,4,10,10,3,3.594462600000115,2.5158750000002783,8.990666999999952,0.0
1757405758,8,GET,/posts,1.000000,1.000000,4,4,4,4,8,8,8,8,8,8,8,9,9,3,3.5688424444444116,2.1331660000001307,8.421791000000178,0.0
1757405758,8,POST,/posts,0.500000,0.500000,7,7,7,7,7,7,7,7,7,7,7,1,1,6.533291999999968,6.533291999999968,6.533291999999968,6.533291999999968,0.0
1757405758,8,GET,/posts/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,6,3,4.249513833333311,1.9461249999999097,8.395417000000016,0.0
1757405758,8,,Aggregated,2.500000,2.500000,3,4,4,4,8,8,9,9,9,9,9,26,26,3,3.84979165384618,1.9461249999999097,8.990666999999952,0.0
1757405759,10,GET,/comments?postId=1,2.000000,2.000000,3,3,3,3,4,4,4,4,4,4,4,13,13,3,3.49904500000009,2.3521669999997386,8.990666999999952,0.0
