Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login,71,71,4,4.017380281690186,1.643542000003606,6.803957999999999,0.0,1.1934148667385267,1.1934148667385267,4,4,5,5,5,6,6,7,7,7,7
POST,/api/register,60,60,4,4.031206233333491,2.222583,6.516042000001221,0.0,1.0085196056945296,1.0085196056945296,4,4,5,5,5,6,6,7,7,7,7
GET,/api/unknown,80,80,4,3.847241187499667,2.1069169999989867,10.581374999999227,0.0,1.344692807592706,1.344692807592706,4,4,4,4,5,5,6,11,11,11,11
GET,/api/unknown/1,2,2,4.480249999999963,4.509062500001992,4.480249999999963,4.537875000004021,0.0,0.033617320189817654,0.033617320189817654,5,5,5,5,5,5,5,5,5,5,5
GET,/api/unknown/12,4,4,3,3.9748229999991835,2.6805000000003076,5.4456250000001205,0.0,0.06723464037963531,0.06723464037963531,4,4,5,5,5,5,5,5,5,5,5
GET,/api/unknown/2,2,2,4,4.310541999998918,3.9765000000002715,4.644583999997565,0.0,0.033617320189817654,0.033617320189817654,5,5,5,5,5,5,5,5,5,5,5
GET,/api/unknown/4,4,4,4.0142090000010455,4.169646000000249,4.0142090000010455,4.237957999997377,0.0,0.06723464037963531,0.06723464037963531,4,4,4,4,4,4,4,4,4,4,4
GET,/api/unknown/5,2,2,4.430375000001874,4.461854000000542,4.430375000001874,4.493332999999211,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
GET,/api/unknown/6,2,2,4.189457999999036,4.31781250000185,4.189457999999036,4.446167000004664,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
GET,/api/unknown/7,3,3,5,5.226777333334098,4.583791000001725,6.428708000001393,0.0,0.05042598028472648,0.05042598028472648,5,5,6,6,6,6,6,6,6,6,6
GET,/api/unknown/8,3,3,4,3.943639000002127,3.746250000000728,4.2755420000020194,0.0,0.05042598028472648,0.05042598028472648,4,4,4,4,4,4,4,4,4,4,4
GET,/api/unknown/9,1,1,4.227333000002886,4.227333000002886,4.227333000002886,4.227333000002886,0.0,0.016808660094908827,0.016808660094908827,4,4,4,4,4,4,4,4,4,4,4
POST,/api/users,37,37,4,4.017429027026917,2.0066659999997682,8.482332999999898,0.0,0.6219204235116266,0.6219204235116266,4,4,4,5,5,6,8,8,8,8,8
DELETE,/api/users/1,3,3,4,3.556222666664629,2.6433339999982763,4.101542000000791,0.0,0.05042598028472648,0.05042598028472648,4,4,4,4,4,4,4,4,4,4,4
GET,/api/users/1,2,2,4,4.116125500001289,3.52308400000112,4.709167000001457,0.0,0.033617320189817654,0.033617320189817654,5,5,5,5,5,5,5,5,5,5,5
PATCH,/api/users/1,4,4,5,4.88197924999989,3.76216699999965,5.762167000000318,0.0,0.06723464037963531,0.06723464037963531,5,5,6,6,6,6,6,6,6,6,6
PUT,/api/users/1,3,3,4,7.776541666667747,3.1881250000012074,16.220750000002226,0.0,0.05042598028472648,0.05042598028472648,4,4,16,16,16,16,16,16,16,16,16
DELETE,/api/users/10,1,1,3.824667000003501,3.824667000003501,3.824667000003501,3.824667000003501,0.0,0.016808660094908827,0.016808660094908827,4,4,4,4,4,4,4,4,4,4,4
GET,/api/users/10,10,10,4,4.193370800000196,1.733999999999014,6.682499999996594,0.0,0.16808660094908826,0.16808660094908826,4,4,5,5,7,7,7,7,7,7,7
PATCH,/api/users/10,2,2,3,3.3908335000010226,2.578458000002115,4.20320899999993,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
PUT,/api/users/10,2,2,3.438749999999935,3.7085625000004008,3.438749999999935,3.9783750000008666,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
DELETE,/api/users/11,2,2,3.4210410000010683,4.256290999999912,3.4210410000010683,5.091540999998756,0.0,0.033617320189817654,0.033617320189817654,5,5,5,5,5,5,5,5,5,5,5
GET,/api/users/11,7,7,3,3.0752677142855993,1.9044580000056044,4.451165999999063,0.0,0.11766062066436178,0.11766062066436178,3,3,4,4,4,4,4,4,4,4,4
PATCH,/api/users/11,3,3,4,3.642847333334309,2.0806670000013128,4.597958000001512,0.0,0.05042598028472648,0.05042598028472648,4,4,5,5,5,5,5,5,5,5,5
PUT,/api/users/11,2,2,4,4.966979499997137,3.7376249999994116,6.196333999994863,0.0,0.033617320189817654,0.033617320189817654,6,6,6,6,6,6,6,6,6,6,6
DELETE,/api/users/12,5,5,3,3.588508799997925,2.756249999997351,4.984166999999928,0.0,0.08404330047454413,0.08404330047454413,3,4,4,5,5,5,5,5,5,5,5
GET,/api/users/12,3,3,4,4.272333333332767,3.6277919999960773,4.752125000003105,0.0,0.05042598028472648,0.05042598028472648,4,4,5,5,5,5,5,5,5,5,5
PATCH,/api/users/12,2,2,2.3523750000009613,3.7783540000013716,2.3523750000009613,5.204333000001782,0.0,0.033617320189817654,0.033617320189817654,5,5,5,5,5,5,5,5,5,5,5
PUT,/api/users/12,2,2,3.366791999997787,3.77349999999943,3.366791999997787,4.180208000001073,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
DELETE,/api/users/2,2,2,4,3.797125000001955,3.50025000000187,4.0940000000020405,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
GET,/api/users/2,6,6,5,4.782680666664874,3.8897909999988656,6.0161249999985955,0.0,0.10085196056945296,0.10085196056945296,5,5,5,5,6,6,6,6,6,6,6
PATCH,/api/users/2,4,4,4,4.027604250000039,3.751874999998961,4.369457999999327,0.0,0.06723464037963531,0.06723464037963531,4,4,4,4,4,4,4,4,4,4,4
PUT,/api/users/2,2,2,4,4.014312999998992,3.794291999998478,4.234333999999507,0.0,0.033617320189817654,0.033617320189817654,4,4,4,4,4,4,4,4,4,4,4
DELETE,/api/users/3,1,1,3.0959999999993215,3.0959999999993215,3.0959999999993215,3.0959999999993215,0.0,0.016808660094908827,0.016808660094908827,3,3,3,3,3,3,3,3,3,3,3
GET,/api/users/3,8,8,4,3.986437500000939,1.97270900000035,5.168707999999356,0.0,0.13446928075927062,0.13446928075927062,4,5,5,5,5,5,5,5,5,5,5
PATCH,/api/users/3,4,4,3.191000000000166,3.807218750001562,3.191000000000166,5.07775000000521,0.0,0.06723464037963531,0.06723464037963531,4,4,5,5,5,5,5,5,5,5,5
PUT,/api/users/3,5,5,5,4.729508200001575,2.590041000004817,6.508541000000534,0.0,0.08404330047454413,0.08404330047454413,5,6,6,7,7,7,7,7,7,7,7
DELETE,/api/users/4,5,5,5,4.3402751999999545,3.3602500000000646,5.0342920000012725,0.0,0.08404330047454413,0.08404330047454413,5,5,5,5,5,5,5,5,5,5,5
