Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757405142,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757405143,2,GET,/comments?postId=1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,2.1919589999999656,4.40716699999999,2.1919589999999656,6.622375000000014,0.0
1757405143,2,GET,/posts/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,2.3353750000000284,2.3353750000000284,2.3353750000000284,2.3353750000000284,0.0
1757405143,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,2.1919589999999656,3.7165696666666697,2.1919589999999656,6.622375000000014,0.0
1757405144,4,GET,/comments?postId=1,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3.7598232499999606,2.1919589999999656,6.622375000000014,0.0
1757405144,4,GET,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5188750000000315,2.5188750000000315,2.5188750000000315,2.5188750000000315,0.0
1757405144,4,GET,/posts/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,2.326666999999949,2.5364583333333433,2.326666999999949,2.947333000000052,0.0
1757405144,4,,Aggregated,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,8,8,3,3.1459428749999874,2.1919589999999656,6.622375000000014,0.0
1757405145,6,GET,/comments?postId=1,2.000000,2.000000,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3.7598232499999606,2.1919589999999656,6.622375000000014,0.0
1757405145,6,GET,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4.248583499999958,2.5188750000000315,7.284708999999889,0.0
1757405145,6,GET,/posts/1,0.000000,0.000000,4,4,4,4,4,4,4,4,4,4,4,6,6,3,2.99696516666668,2.326666999999949,3.6106249999998674,0.0
1757405145,6,,Aggregated,2.000000,2.000000,3,3,4,4,4,7,7,7,7,7,7,14,14,3,3.5725298571428397,2.1919589999999656,7.284708999999889,0.0
1757405146,8,GET,/comments?postId=1,1.500000,1.500000,3,3,4,4,4,4,4,4,4,4,4,8,8,3,3.5828751250000237,2.1919589999999656,6.622375000000014,0.0
1757405146,8,GET,/posts,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,7,3,3.5495535714285618,1.2978749999996708,7.284708999999889,0.0
1757405146,8,POST,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,1.4908750000000026,3.2788750000001254,1.4908750000000026,5.066875000000248,0.0
1757405146,8,GET,/posts/1,1.000000,1.000000,3,4,4,4,4,4,4,4,4,4,4,7,7,3,2.9662678571428236,2.326666999999949,3.6106249999998674,0.0
1757405146,8,,Aggregated,2.500000,2.500000,3,3,4,4,4,5,7,7,7,7,7,24,24,3,3.3679792083333395,1.2978749999996708,7.284708999999889,0.0
1757405147,10,GET,/comments?postId=1,1.333333,1.333333,3,3,4,4,4,4,4,4,4,4,4,10,10,3,3.4589833999999486,2.1919589999999656,6.622375000000014,0.0
1757405147,10,GET,/posts,1.000000,1.000000,3,4,4,5,9,9,9,9,9,9,9,12,12,3,4.059937499999907,1.2978749999996708,8.882249999999203,0.0
1757405147,10,POST,/posts,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3143749999999805,1.4908750000000026,5.066875000000248,0.0
1757405147,10,GET,/posts/1,1.666667,1.666667,4,4,4,4,4,4,4,4,4,4,4,8,8,3,3.0869480000000475,2.326666999999949,3.931709000000616,0.0
1757405147,10,,Aggregated,4.000000,4.000000,3,4,4,4,5,7,9,9,9,9,9,33,33,3,3.5741755454545054,1.2978749999996708,8.882249999999203,0.0
1757405148,10,GET,/comments?postId=1,1.500000,1.500000,3,3,4,4,4,4,4,4,4,4,4,11,11,3,3.4780266363635906,2.1919589999999656,6.622375000000014,0.0
1757405148,10,GET,/posts,1.250000,1.250000,3,4,5,5,5,9,9,9,9,9,9,15,15,3,3.7935943999999258,1.2978749999996708,8.882249999999203,0.0
1757405148,10,POST,/posts,0.250000,0.250000,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3.0331998000000304,1.4908750000000026,5.066875000000248,0.0
1757405148,10,GET,/posts/1,1.750000,1.750000,3,4,4,4,13,13,13,13,13,13,13,12,12,3,3.813868166666669,2.326666999999949,12.94041700000026,0.0
1757405148,10,,Aggregated,4.750000,4.750000,3,4,4,4,5,7,13,13,13,13,13,43,43,3,3.6301075813953148,1.2978749999996708,12.94041700000026,0.0
1757405149,10,GET,/comments?postId=1,1.800000,1.800000,3,4,4,4,4,9,9,9,9,9,9,16,16,3,3.8392449375000552,2.1919589999999656,8.59279199999996,0.0
1757405149,10,GET,/posts,2.000000,2.000000,4,4,4,4,5,9,9,9,9,9,9,19,19,4,3.8229385789473147,1.2978749999996708,8.882249999999203,0.0
1757405149,10,POST,/posts,0.600000,0.600000,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3.0331998000000304,1.4908750000000026,5.066875000000248,0.0
1757405149,10,GET,/posts/1,1.400000,1.400000,3,4,4,4,4,13,13,13,13,13,13,13,13,3,3.7927340769230518,2.326666999999949,12.94041700000026,0.0
1757405149,10,,Aggregated,5.800000,5.800000,3,4,4,4,5,9,9,13,13,13,13,53,53,3,3.7459489433962205,1.2978749999996708,12.94041700000026,0.0
1757405150,10,GET,/comments?postId=1,1.833333,1.833333,3,4,4,4,4,9,9,9,9,9,9,17,17,3,3.868816294117721,2.1919589999999656,8.59279199999996,0.0
1757405150,10,GET,/posts,2.333333,2.333333,4,4,4,4,5,9,9,9,9,9,9,22,22,4,3.793569999999913,1.2978749999996708,8.882249999999203,0.0
1757405150,10,POST,/posts,0.666667,0.666667,3,3,3,3,5,5,5,5,5,5,5,7,7,3,3.4021902857143287,1.4908750000000026,5.277874999999987,0.0
1757405150,10,GET,/posts/1,1.666667,1.666667,3,4,4,4,4,13,13,13,13,13,13,16,16,3,3.7028022499999493,2.326666999999949,12.94041700000026,0.0
1757405150,10,,Aggregated,6.500000,6.500000,3,4,4,4,5,9,9,13,13,13,13,62,62,3,3.7465900806451424,1.2978749999996708,12.94041700000026,0.0
1757405151,10,GET,/comments?postId=1,1.714286,1.714286,3,4,4,4,4,9,9,9,9,9,9,20,20,3,3.7201021999999755,2.1919589999999656,8.59279199999996,0.0
1757405151,10,GET,/posts,2.428571,2.428571,4,4,4,4,5,5,9,9,9,9,9,25,25,4,3.657554959999958,1.2978749999996708,8.882249999999203,0.0
1757405151,10,POST,/posts,0.714286,0.714286,3,3,3,3,5,5,5,5,5,5,5,8,8,3,3.367838375000043,1.4908750000000026,5.277874999999987,0.0
