Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comments?postId=1,124,124,3,3.5288757258063925,1.1722919999996861,10.054957999997782,0.0,2.0997866395509237,2.0997866395509237,3,4,4,4,5,5,7,9,10,10,10
GET,/posts,225,225,3,3.595789440000081,1.2978749999996708,8.882249999999203,0.0,3.8100967249915954,3.8100967249915954,3,4,4,4,5,5,7,8,9,9,9
POST,/posts,69,69,4,3.622862884058101,1.4908750000000026,6.847874999998282,0.0,1.168429662330756,1.168429662330756,4,4,4,4,5,5,6,7,7,7,7
GET,/posts/1,138,138,3,3.5380866666666777,1.4277920000012045,12.94041700000026,0.0,2.336859324661512,2.336859324661512,4,4,4,4,5,5,6,7,13,13,13
,Aggregated,556,556,3,3.5699041600719825,1.1722919999996861,12.94041700000026,0.0,9.415172351534787,9.415172351534787,3,4,4,4,5,5,7,8,13,13,13
