Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comments?postId=1,143,143,3,3.5738986503497694,1.5422499999999673,11.905750000000381,0.0,2.4147325896471963,2.4147325896471963,3,4,4,4,5,5,8,10,12,12,12
GET,/posts,231,231,3,3.4919604891773908,1.3381250000001899,11.366417000000073,0.0,3.900721875583933,3.900721875583933,3,4,4,4,5,5,6,8,11,11,11
POST,/posts,68,68,4,3.5258628382355077,1.7802909999957706,6.090458000002741,0.0,1.1482644482238415,1.1482644482238415,4,4,4,4,5,5,6,6,6,6,6
GET,/posts/1,123,123,3,3.4169417398375765,1.8565410000004334,8.667334000000082,0.0,2.077007751934302,2.077007751934302,3,4,4,4,4,5,5,7,9,9,9
,Aggregated,565,565,3,3.500447587610671,1.3381250000001899,11.905750000000381,0.0,9.540726665389272,9.540726665389272,3,4,4,4,5,5,6,8,12,12,12
