Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757405490,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757405491,2,GET,/comments?postId=1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,8.021416000000004,8.021416000000004,8.021416000000004,8.021416000000004,0.0
1757405491,2,POST,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,3.000208000000004,3.000208000000004,3.000208000000004,3.000208000000004,0.0
1757405491,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,3.000208000000004,5.510812000000004,3.000208000000004,8.021416000000004,0.0
1757405492,4,GET,/comments?postId=1,0.000000,0.000000,4,4,4,4,4,4,4,4,4,4,4,2,2,4,5.760916499999963,3.5004169999999224,8.021416000000004,0.0
1757405492,4,GET,/posts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4.303264333333316,3.8982089999999303,4.906375000000018,0.0
1757405492,4,POST,/posts,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,1,1,3.000208000000004,3.000208000000004,3.000208000000004,3.000208000000004,0.0
1757405492,4,GET,/posts/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5.840541500000018,4.580416000000032,7.100667000000005,0.0
1757405492,4,,Aggregated,0.000000,0.000000,5,5,5,5,7,7,7,7,7,7,7,8,8,4,4.889114624999989,3.000208000000004,8.021416000000004,0.0
1757405493,6,GET,/comments?postId=1,1.000000,1.000000,4,4,4,4,4,4,4,4,4,4,4,2,2,4,5.760916499999963,3.5004169999999224,8.021416000000004,0.0
1757405493,6,GET,/posts,0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,7,7,4,4.17983942857138,3.4928330000001395,4.906375000000018,0.0
1757405493,6,POST,/posts,1.000000,1.000000,4,4,4,4,4,4,4,4,4,4,4,2,2,3.000208000000004,3.4162705000000404,3.000208000000004,3.8323330000000766,0.0
1757405493,6,GET,/posts/1,0.000000,0.000000,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5.130763666666797,3.7112080000003544,7.100667000000005,0.0
1757405493,6,,Aggregated,2.000000,2.000000,4,5,5,5,5,7,7,7,7,7,7,14,14,4,4.500395785714289,3.000208000000004,8.021416000000004,0.0
1757405494,8,GET,/comments?postId=1,1.000000,1.000000,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4.329249999999882,2.7395829999994348,8.021416000000004,0.0
1757405494,8,GET,/posts,1.500000,1.500000,5,5,5,11,11,11,11,11,11,11,11,12,12,4,5.31224308333326,2.9594579999994153,11.366417000000073,0.0
1757405494,8,POST,/posts,0.500000,0.500000,4,4,4,4,4,4,4,4,4,4,4,2,2,3.000208000000004,3.4162705000000404,3.000208000000004,3.8323330000000766,0.0
1757405494,8,GET,/posts/1,0.500000,0.500000,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4.672208250000032,3.296541999999736,7.100667000000005,0.0
1757405494,8,,Aggregated,3.500000,3.500000,4,5,5,5,11,11,11,11,11,11,11,22,22,4,4.844785954545402,2.7395829999994348,11.366417000000073,0.0
1757405495,10,GET,/comments?postId=1,0.666667,0.666667,4,4,4,4,5,5,5,5,5,5,5,8,8,4,4.16080724999992,2.7395829999994348,8.021416000000004,0.0
1757405495,10,GET,/posts,2.000000,2.000000,4,5,5,5,11,11,11,11,11,11,11,16,16,4,4.946096374999959,2.6580420000001936,11.366417000000073,0.0
1757405495,10,POST,/posts,0.666667,0.666667,4,4,4,4,4,4,4,4,4,4,4,2,2,3.000208000000004,3.4162705000000404,3.000208000000004,3.8323330000000766,0.0
1757405495,10,GET,/posts/1,1.000000,1.000000,4,4,4,4,5,5,5,5,5,5,5,9,9,4,4.07666677777775,2.845999999999904,7.100667000000005,0.0
1757405495,10,,Aggregated,4.333333,4.333333,4,4,5,5,5,11,11,11,11,11,11,35,35,4,4.455615485714243,2.6580420000001936,11.366417000000073,0.0
1757405496,10,GET,/comments?postId=1,1.000000,1.000000,4,4,4,5,5,5,5,5,5,5,5,10,10,4,4.1351041999999785,2.7395829999994348,8.021416000000004,0.0
1757405496,10,GET,/posts,2.750000,2.750000,4,5,5,5,11,11,11,11,11,11,11,21,21,4,4.701950428571393,2.443708999999572,11.366417000000073,0.0
1757405496,10,POST,/posts,0.500000,0.500000,4,4,4,4,4,4,4,4,4,4,4,2,2,3.000208000000004,3.4162705000000404,3.000208000000004,3.8323330000000766,0.0
1757405496,10,GET,/posts/1,1.000000,1.000000,4,4,4,4,5,5,5,5,5,5,5,11,11,4,3.8461516363635426,2.3241669999993775,7.100667000000005,0.0
1757405496,10,,Aggregated,5.250000,5.250000,4,4,5,5,5,7,11,11,11,11,11,44,44,4,4.3007320454545,2.3241669999993775,11.366417000000073,0.0
1757405497,10,GET,/comments?postId=1,1.600000,1.600000,4,4,4,5,5,5,5,5,5,5,5,11,11,4,4.008325818181775,2.7395829999994348,8.021416000000004,0.0
1757405497,10,GET,/posts,2.600000,2.600000,4,5,5,5,5,11,11,11,11,11,11,25,25,4,4.4585266399999135,1.6201249999996392,11.366417000000073,0.0
1757405497,10,POST,/posts,0.400000,0.400000,4,4,4,4,4,4,4,4,4,4,4,4,4,3.000208000000004,3.4259062500000548,3.000208000000004,3.8323330000000766,0.0
1757405497,10,GET,/posts/1,1.600000,1.600000,3,4,4,4,4,5,5,5,5,5,5,13,13,3,3.7198462307691615,2.3241669999993775,7.100667000000005,0.0
1757405497,10,,Aggregated,6.200000,6.200000,4,4,5,5,5,7,11,11,11,11,11,53,53,4,4.105969358490502,1.6201249999996392,11.366417000000073,0.0
1757405498,10,GET,/comments?postId=1,1.500000,1.500000,4,4,4,5,5,5,5,5,5,5,5,11,11,4,4.008325818181775,2.7395829999994348,8.021416000000004,0.0
1757405498,10,GET,/posts,3.166667,3.166667,4,5,5,5,5,11,11,11,11,11,11,29,29,4,4.375642241379176,1.6201249999996392,11.366417000000073,0.0
1757405498,10,POST,/posts,0.333333,0.333333,4,4,4,4,5,5,5,5,5,5,5,8,8,3,3.436500000000009,2.4559999999995696,4.559125000000108,0.0
1757405498,10,GET,/posts/1,1.833333,1.833333,3,4,4,4,4,5,5,5,5,5,5,15,15,3,3.5026416666666136,1.8565410000004334,7.100667000000005,0.0
1757405498,10,,Aggregated,6.833333,6.833333,4,4,4,5,5,5,11,11,11,11,11,63,63,4,3.9843941904761087,1.6201249999996392,11.366417000000073,0.0
1757405499,10,GET,/comments?postId=1,1.571429,1.571429,4,4,4,5,5,5,5,5,5,5,5,14,14,4,4.0004256428571034,2.7395829999994348,8.021416000000004,0.0
1757405499,10,GET,/posts,3.428571,3.428571,4,4,5,5,5,11,11,11,11,11,11,33,33,4,4.278877545454374,1.6201249999996392,11.366417000000073,0.0
1757405499,10,POST,/posts,0.428571,0.428571,4,4,4,4,5,5,5,5,5,5,5,10,10,4,3.482629199999954,2.4559999999995696,4.559125000000108,0.0
